Trial	Beat	Sentence	Sentence_extraction	Congruency	Validity	Sensitivity	Probe	Response	Accuracy	RT
74	binary	['d', '*', 'c', '+', 'y', '*', 'm']	*+*	congruent	True	insensitive	m * y + c * d	y	1	0.820679577998817
75	binary	['j', '+', 'k', '*', 'z', '+', 'f']	+*+	incongruent	True	sensitive	k + j * f + z	d	0	1.1331307479995303
76	binary	['x', '*', 'b', '+', 'a', '*', 'h']	*+*	incongruent	False	insensitive	a * x + h * b	n	1	2.0993363379966468
77	binary	['j', '*', 'm', '+', 'w', '*', 'y']	*+*	congruent	False	insensitive	m * w + j * y	n	1	0.9865703409886919
78	binary	['d', '*', 'c', '+', 'j', '*', 'n']	*+*	incongruent	False	insensitive	j * d + n * c	n	1	1.9861475409707054
79	binary	['u', '+', 'd', '*', 'p', '+', 'r']	+*+	incongruent	True	insensitive	r + p * d + u	y	1	1.737002101028338
80	binary	['y', '+', 'g', '*', 'p', '+', 'r']	+*+	incongruent	True	sensitive	r + g * p + y	y	1	1.0693420459865592
81	binary	['w', '+', 'y', '*', 'u', '+', 'r']	+*+	congruent	False	insensitive	u + w * r + y	n	1	1.9692355199949816
82	binary	['y', '+', 'v', '*', 'a', '+', 'm']	+*+	incongruent	False	insensitive	v + a * y + m	n	1	2.0030917419935577
83	binary	['p', '+', 'a', '*', 'y', '+', 's']	+*+	congruent	True	insensitive	s + y * a + p	y	1	1.032801442022901
84	binary	['z', '+', 'c', '*', 'h', '+', 'f']	+*+	congruent	True	sensitive	h + f * z + c	y	1	0.63320531998761
85	binary	['h', '*', 'n', '+', 'f', '*', 'e']	*+*	incongruent	True	sensitive	f * e + h * n	y	1	0.7538613980286755
86	binary	['w', '*', 'g', '+', 'm', '*', 'j']	*+*	congruent	True	sensitive	g * w + j * m	y	1	1.869016601005569
87	binary	['a', '+', 'b', '*', 'x', '+', 'p']	+*+	congruent	False	insensitive	b + x * a + p	n	1	0.8530376680428162
88	binary	['c', '+', 'q', '*', 'd', '+', 's']	+*+	congruent	True	insensitive	c + q * d + s	y	1	1.0533790080226026
89	binary	['q', '+', 'k', '*', 'a', '+', 'h']	+*+	congruent	True	insensitive	h + a * k + q	y	1	0.6198979999753647
90	binary	['d', '*', 'f', '+', 'x', '*', 'e']	*+*	congruent	False	sensitive	e * f + x * d	n	1	2.0210960200056434
91	binary	['m', '+', 'n', '*', 'j', '+', 'e']	+*+	congruent	False	insensitive	n + j * m + e	n	1	0.8353702290332876
92	binary	['x', '+', 'r', '*', 'w', '+', 'g']	+*+	congruent	False	insensitive	r + w * x + g	n	1	0.9190657870494761
93	binary	['n', '*', 's', '+', 'u', '*', 'k']	*+*	incongruent	True	insensitive	n * s + u * k	y	1	1.0203410050016828
94	binary	['h', '+', 'u', '*', 'f', '+', 'z']	+*+	incongruent	False	insensitive	f + h * z + u	d	0	1.7371849740156904
95	binary	['m', '+', 'e', '*', 'g', '+', 'f']	+*+	incongruent	True	sensitive	e + m * f + g	n	0	1.7704738299944438
96	binary	['v', '+', 'z', '*', 'b', '+', 't']	+*+	congruent	True	sensitive	t + z * b + v	y	1	1.053306771966163
