Trial	Beat	Sentence	Sentence_extraction	Congruency	Validity	Sensitivity	Probe	Response	Accuracy	RT
208	binary2	['u', '+', 'j', '*', 'd', '+', 'f']	+*+	congruent	True	insensitive	u + j * d + f	y	1	0.8366914060316049
209	binary	['f', '*', 'w', '+', 'h', '/', 'z']	*+/	incongruent	assorted	assorted	z * h + w / f	y	0	0.32011791499098763
210	binary	['j', '+', 'h', '*', 'w', '+', 'y']	+*+	congruent	False	insensitive	w + j * y + h	n	1	1.119478388049174
211	binary2	['p', '+', 'h', '*', 'c', '+', 'b']	+*+	congruent	True	insensitive	p + h * c + b	y	1	0.8203319439780898
212	binary2	['z', '+', 's', '*', 'n', '+', 'u']	+*+	incongruent	True	insensitive	u + n * s + z	y	1	0.8338361119967885
213	binary2	['s', '*', 'c', '*', 'z', '+', 'f']	**+	congruent	assorted	assorted	s * z * c + f	n	0	2.0869280290207826
214	binary2	['e', '+', 'm', '*', 'u', '+', 'a']	+*+	congruent	False	insensitive	u + e * a + m	n	1	0.8894372100476176
215	binary	['g', '*', 'm', '+', 't', '/', 'p']	*+/	incongruent	assorted	assorted	g * m + t / p	n	0	0.9201993240276352
216	binary2	['a', '*', 'z', '*', 'p', '+', 'q']	**+	incongruent	assorted	assorted	p * q * a + z	d	0	1.2553008430404589
217	binary	['w', '*', 'm', '+', 's', '*', 'z']	*+*	incongruent	False	insensitive	m * s + w * z	n	1	1.5701496849651448
218	nonaccent	['t', '+', 'b', '*', 'k', '+', 'm']	+*+	neutral	False	insensitive	b + k * t + m	n	1	1.2869622450089082
219	binary	['w', '+', 'y', '*', 'n', '+', 'p']	+*+	incongruent	True	insensitive	p + n * y + w	d	0	2.2869054450420663
